trip_jarak,beh_peta_potensi,sosdem_usia,sosdem_penghasilan_pribadi,sosdem_penghasilan_keluarga,sosdem_pekerjaan_selain,beh_ojek_konvensional,loc_jumlah_pasar,loc_jumlah_ofm,loc_jml_b_permukiman,loc_jumlah_taman,trip_jenis_pesanan_Ride,trip_pickup
1.41,3,38,3499999.5,5499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.91,3,38,3499999.5,5499999.5,1,0,1,18,542,0,1,Pamoyanan
1.25,3,38,3499999.5,5499999.5,1,0,0,24,2425,0,1,Sukabungah
3.16,3,38,3499999.5,5499999.5,1,0,1,32,2232,0,0,Arjuna
5.33,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
2.22,3,38,3499999.5,5499999.5,1,0,0,48,844,0,1,Paledang
5.74,3,38,3499999.5,5499999.5,1,0,1,50,630,0,1,Kebon Jeruk
1.86,3,38,3499999.5,5499999.5,1,0,1,32,438,1,1,Balong Gede
7.62,3,38,3499999.5,5499999.5,1,0,1,32,2232,0,1,Arjuna
0.57,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
0.96,3,38,3499999.5,5499999.5,1,0,1,32,2232,0,0,Arjuna
7.72,3,38,3499999.5,5499999.5,1,0,0,46,948,0,1,Pasirkaliki
3.38,3,38,3499999.5,5499999.5,1,0,0,68,1582,0,0,Mekar Wangi
1.26,3,38,3499999.5,5499999.5,1,0,0,9,1973,0,0,Margasuka
2.17,3,38,3499999.5,5499999.5,1,0,0,46,948,0,0,Pasirkaliki
1.2,3,38,3499999.5,5499999.5,1,0,0,46,948,0,1,Pasirkaliki
6.48,3,38,3499999.5,5499999.5,1,0,0,46,948,0,1,Pasirkaliki
0.94,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
5.17,3,38,3499999.5,5499999.5,1,0,0,24,2425,0,1,Sukabungah
5.05,3,38,3499999.5,5499999.5,1,0,1,7,1392,0,1,Nyengseret
3.81,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
1.43,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
2.51,3,38,3499999.5,5499999.5,1,0,1,18,542,0,1,Pamoyanan
4.5,3,38,3499999.5,5499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.04,3,38,3499999.5,5499999.5,1,0,0,44,1419,0,1,Lingkar Selatan
5.85,3,38,3499999.5,5499999.5,1,0,0,44,1419,0,1,Lingkar Selatan
2.03,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
4.19,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
2.47,3,38,3499999.5,5499999.5,1,0,0,46,948,0,1,Pasirkaliki
8.46,3,38,3499999.5,5499999.5,1,0,1,18,542,0,1,Pamoyanan
4.01,3,38,3499999.5,5499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.43,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
0.0,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
2.27,3,38,3499999.5,5499999.5,1,0,1,18,542,0,0,Pamoyanan
1.75,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
5.46,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.64,1,32,3499999.5,4499999.5,1,0,1,100,1105,2,0,Lebak Gede
1.21,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
6.85,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.6,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
4.35,1,32,3499999.5,4499999.5,1,0,0,19,3307,0,0,Warung Muncang
5.43,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
6.54,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
0.13,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.13,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
3.43,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
4.77,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.78,1,32,3499999.5,4499999.5,1,0,0,22,655,0,0,Karang Anyar
7.05,1,32,3499999.5,4499999.5,1,0,1,18,542,0,0,Pamoyanan
4.09,1,32,3499999.5,4499999.5,1,0,1,21,2485,0,0,Ancol
4.33,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
21.13,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
4.82,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
4.23,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
4.8,1,32,3499999.5,4499999.5,1,0,0,40,3358,0,0,Gempol Sari
6.22,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
3.72,1,32,3499999.5,4499999.5,1,0,0,6,1093,0,0,Panjunan
21.83,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.12,1,32,3499999.5,4499999.5,1,0,0,18,3928,0,0,Jamika
4.52,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
2.82,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.32,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
0.77,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.6,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.38,1,32,3499999.5,4499999.5,1,0,1,66,1014,0,0,Kebon Pisang
1.96,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
3.99,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.13,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.64,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.96,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
1.03,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.21,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.01,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
2.88,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.17,1,32,3499999.5,4499999.5,1,0,1,42,3407,0,0,Cijerah
1.23,1,32,3499999.5,4499999.5,1,0,0,46,948,0,0,Pasirkaliki
3.93,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
2.27,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
4.59,1,32,3499999.5,4499999.5,1,0,2,17,2799,0,0,Ciroyom
0.29,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
5.51,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
3.24,1,32,3499999.5,4499999.5,1,0,0,22,655,0,0,Karang Anyar
0.92,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.94,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.54,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
3.72,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.24,1,32,3499999.5,4499999.5,1,0,1,66,1014,0,0,Kebon Pisang
5.14,1,32,3499999.5,4499999.5,1,0,0,46,948,0,0,Pasirkaliki
4.71,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.34,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
3.84,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
4.5,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
3.19,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.36,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
5.0,1,32,3499999.5,4499999.5,1,0,0,22,655,0,0,Karang Anyar
2.14,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.67,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.03,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.75,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.39,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.21,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.1,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.16,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
6.95,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
3.11,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.97,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
5.28,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
4.31,1,32,3499999.5,4499999.5,1,0,0,18,1926,0,0,Garuda
4.84,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
5.69,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
2.13,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.82,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.07,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.66,1,32,3499999.5,4499999.5,1,0,1,66,1014,0,0,Kebon Pisang
1.8,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
5.12,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
7.89,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.59,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.45,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.85,1,32,3499999.5,4499999.5,1,0,0,18,1926,0,0,Garuda
1.35,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
4.27,1,32,3499999.5,4499999.5,1,0,1,66,1014,0,0,Kebon Pisang
7.04,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
5.03,1,32,3499999.5,4499999.5,1,0,0,22,655,0,0,Karang Anyar
4.04,1,32,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
0.66,1,41,5499999.5,4499999.5,1,0,0,36,2053,0,1,Ledeng
0.84,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
2.09,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.56,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
3.88,1,41,5499999.5,4499999.5,1,0,1,125,1428,5,1,Cihapit
1.51,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.59,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.77,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.63,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.64,1,41,5499999.5,4499999.5,1,0,1,32,2232,0,1,Arjuna
2.91,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
2.43,1,41,5499999.5,4499999.5,1,0,1,50,630,0,1,Kebon Jeruk
3.5,1,41,5499999.5,4499999.5,1,0,0,79,1104,3,1,Merdeka
3.39,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
3.65,1,41,5499999.5,4499999.5,1,0,1,50,630,0,1,Kebon Jeruk
2.75,1,41,5499999.5,4499999.5,1,0,0,34,2387,0,1,Pajajaran
2.98,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
2.74,1,41,5499999.5,4499999.5,1,0,1,66,1014,0,1,Kebon Pisang
1.16,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.21,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
0.68,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
0.68,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
0.73,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
0.91,1,41,5499999.5,4499999.5,1,0,0,42,3150,0,1,Isola
0.96,1,41,5499999.5,4499999.5,1,0,1,66,1014,0,1,Kebon Pisang
1.15,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
0.92,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
2.46,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
3.15,1,41,5499999.5,4499999.5,1,0,2,90,1681,3,1,Taman Sari
2.72,1,41,5499999.5,4499999.5,1,0,1,50,630,0,1,Kebon Jeruk
2.4,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
2.45,1,41,5499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
1.34,1,41,5499999.5,4499999.5,1,0,1,125,1428,5,1,Cihapit
4.17,1,41,5499999.5,4499999.5,1,0,1,163,829,3,1,Citarum
4.27,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
2.34,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
2.75,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
4.06,1,41,5499999.5,4499999.5,1,0,2,90,1681,3,1,Taman Sari
3.68,1,41,5499999.5,4499999.5,1,0,1,163,829,3,1,Citarum
1.62,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
3.92,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.49,1,41,5499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
1.02,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,1,Gegerkalong
1.32,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.25,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.6,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
0.84,1,41,5499999.5,4499999.5,1,0,0,33,2552,0,1,Sukarasa
1.2,1,41,5499999.5,4499999.5,1,0,0,68,2186,1,1,Hegarmanah
4.37,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
1.17,1,41,5499999.5,4499999.5,1,0,0,42,3150,0,1,Isola
3.65,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,1,Gegerkalong
1.0,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,1,Gegerkalong
0.35,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,1,Gegerkalong
1.2,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,0,Gegerkalong
1.29,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,0,Gegerkalong
1.64,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,0,Gegerkalong
0.46,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,0,Gegerkalong
